ratio,sol_nodes_num,sol_nodes_ratio_origin,sol_nodes_ratio,remain_ratio_origin,remain_ratio
0.18,968,0.805324459,0.904858943,0.811399832,0.911685204
0.18,974,0.81031614,0.910467573,0.813021703,0.913507531
0.18,939,0.781198003,0.877750565,0.786432161,0.883631642
0.18,966,0.803660566,0.9029894,0.809045226,0.90903958
0.18,952,0.792013311,0.889902597,0.795986622,0.894366991
0.18,957,0.796173045,0.894576455,0.801507538,0.900570267
0.18,946,0.787021631,0.884293967,0.7909699,0.888730225
0.18,948,0.788685524,0.88616351,0.794635373,0.892848734
0.18,948,0.788685524,0.88616351,0.795302013,0.893597767
0.18,927,0.771214642,0.866533306,0.77638191,0.872339225
0.18,938,0.780366057,0.876815794,0.782971619,0.879743392
0.18,959,0.797836938,0.896445998,0.80318258,0.902452337
0.18,955,0.794509151,0.892706911,0.800502934,0.899441499
0.18,959,0.797836938,0.896445998,0.799166667,0.897940075
0.18,973,0.809484193,0.909532801,0.811509591,0.911808529
0.18,943,0.78452579,0.881489652,0.788461538,0.88591184
0.18,933,0.776206323,0.872141936,0.779448622,0.875784969
0.18,952,0.792013311,0.889902597,0.797319933,0.895865093
0.18,969,0.806156406,0.905793715,0.80884808,0.908818067
0.18,969,0.806156406,0.905793715,0.810878661,0.911099619
0.19,946,0.787021631,0.884293967,0.792958927,0.890965087
0.19,949,0.789517471,0.887098282,0.794142259,0.892294673
0.19,939,0.781198003,0.877750565,0.786432161,0.883631642
0.19,952,0.792013311,0.889902597,0.798657718,0.897368222
0.19,938,0.780366057,0.876815794,0.784937238,0.881951953
0.19,938,0.780366057,0.876815794,0.786253143,0.883430498
0.19,937,0.77953411,0.875881022,0.783444816,0.880275074
0.19,942,0.783693844,0.880554881,0.788944724,0.886454746
0.19,951,0.791181364,0.888967825,0.802531646,0.901720951
0.19,930,0.773710483,0.869337621,0.777591973,0.873698846
0.19,942,0.783693844,0.880554881,0.787625418,0.88497238
0.19,942,0.783693844,0.880554881,0.788284519,0.885712943
0.19,954,0.793677205,0.89177214,0.798994975,0.897747163
0.19,955,0.794509151,0.892706911,0.800502934,0.899441499
0.19,964,0.801996672,0.901119856,0.80804694,0.90791791
0.19,968,0.805324459,0.904858943,0.809364548,0.909398369
0.19,959,0.797836938,0.896445998,0.80318258,0.902452337
0.19,946,0.787021631,0.884293967,0.7909699,0.888730225
0.19,942,0.783693844,0.880554881,0.788944724,0.886454746
0.19,945,0.786189684,0.883359196,0.791457286,0.889277849
0.19,942,0.783693844,0.880554881,0.791596639,0.889434426
0.19,962,0.800332779,0.899250313,0.803675856,0.90300658
0.19,951,0.791181364,0.888967825,0.7958159,0.894175169
0.19,952,0.792013311,0.889902597,0.798657718,0.897368222
